User Input,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Top 3 returned FAQ with Confidence Scores,Associated URL
Can I manage my router from the app?,How do I manage my Vodafone router settings?,How do I manage my Vodafone router settings? ,Y,"{'How do I manage my Vodafone router settings? ': 0.11407, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.06299, 'What’s Guest WiFi and how can I manage it? ': 0.03456}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
I need to change my router set up,How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.02028, 'What do the lights mean on my router? ': 0.02018, 'How do I set up my home phone? ': 0.02016}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
How can I change router settings,How do I manage my Vodafone router settings?,How do I reset the password on my router? ,N,"{'How do I reset the password on my router? ': 0.03013, 'How do I factory reset my Vodafone router? ': 0.02881, 'What do the lights mean on my router? ': 0.02419}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
advanced router settings,How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.01419, 'How do I set up conference calling? ': 0.01382, 'Can I use my own router with Vodafone broadband? ': 0.01381}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
router settings,How do I manage my Vodafone router settings?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.0219, 'How do I manage my Vodafone router settings? ': 0.02157, 'How do I factory reset my Vodafone router? ': 0.0197}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
cant login to router settings,How do I manage my Vodafone router settings?,How do I reset the password on my router? ,N,"{'How do I reset the password on my router? ': 0.01758, 'I’m having issues connecting my Super WiFi Booster ': 0.01621, 'How do I check the devices connected to my WiFi? ': 0.01587}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
change wifi channel via router settings,How do I manage my Vodafone router settings?,How do I reset the password on my router? ,N,"{'How do I reset the password on my router? ': 0.01899, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.01782, 'How do I factory reset my Vodafone router? ': 0.01443}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
"i had to buy a new router, can you please provide me with the router settings and vdsl login",How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.01214, 'I’m having issues connecting my Super WiFi Booster ': 0.01148, 'How do I check the devices connected to my WiFi? ': 0.01139}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
how do i access my router settings to configure the router,How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.02195, 'How do I reset the password on my router? ': 0.02055, 'Can I use my own router with Vodafone broadband? ': 0.01456}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
how do i change router settings in the app,How do I manage my Vodafone router settings?,How do I manage my Vodafone router settings? ,Y,"{'How do I manage my Vodafone router settings? ': 0.05808, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.0467, 'How do I manage my dual-SIM phone? ': 0.02962}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
i need to access my broadband router setting,How do I manage my Vodafone router settings?,What’s Guest WiFi and how can I manage it? ,Y,"{'What’s Guest WiFi and how can I manage it? ': 0.02083, 'How do I manage my Vodafone router settings? ': 0.01642, 'How do I set up my home phone? ': 0.01414}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
how do i view my router settings?,How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.02139, 'I’m having issues connecting my Super WiFi Booster ': 0.01956, 'How do I check the devices connected to my WiFi? ': 0.01937}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
vodafone router settingsi tried to do router settings but i couldn�t connect,How do I manage my Vodafone router settings?,How do I factory reset my Vodafone router? ,Y,"{'How do I factory reset my Vodafone router? ': 0.02017, 'I’m having issues connecting my Super WiFi Booster ': 0.01947, 'How do I manage my Vodafone router settings? ': 0.0192}",https://support.vodafone.co.uk/Broadband/Broadband-app/1464003112/How-do-I-manage-my-Vodafone-router-settings.htm
Switch off data,How do I switch off data on my phone?,How does Message+ work? ,N,"{'How does Message+ work? ': 0.03162, 'How can I find out about the 3G switch-off?\u202f ': 0.02276, 'Where can I find more information about Pay as you go 1? ': 0.02268}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
How to turn off my data,How do I switch off data on my phone?,How do I set up a mobile hotspot on my device? ,N,"{'How do I set up a mobile hotspot on my device? ': 0.07039, 'How do I check my Vodafone Broadband speed? ': 0.02525, 'How do I manage call diverts? ': 0.02246}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
I want to turn off my data so it can't be used ,How do I switch off data on my phone?,How do I set up a mobile hotspot on my device? ,Y,"{'How do I set up a mobile hotspot on my device? ': 0.0332, 'How do I switch off data on my phone? ': 0.0219, 'How do I manage call diverts? ': 0.01787}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
How do i switch off data usage on my iphone,How do I switch off data on my phone?,How do I set up a mobile hotspot on my device? ,Y,"{'How do I set up a mobile hotspot on my device? ': 0.03457, 'Can I get mobile network status alerts? ': 0.02243, 'How do I switch off data on my phone? ': 0.01828}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
"I have a samsung, how do I turn off data usage?",How do I switch off data on my phone?,How do I set up a mobile hotspot on my device? ,N,"{'How do I set up a mobile hotspot on my device? ': 0.03166, 'How do I check my Vodafone Broadband speed? ': 0.02325, 'How do I manage call diverts? ': 0.02324}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
I want to limit my data usage for the rest of this month,How do I switch off data on my phone?,How do I switch off data on my phone? ,Y,"{'How do I switch off data on my phone? ': 0.01273, 'How do I set up a mobile hotspot on my device? ': 0.01007, 'How do I transfer content from one phone to another? ': 0.01002}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
Can I switch off my data completely?,How do I switch off data on my phone?,How do I manage call diverts? ,N,"{'How do I manage call diverts? ': 0.03087, 'Can I get mobile network status alerts? ': 0.02368, 'Where can I find more information about Pay as you go 1? ': 0.02233}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
How do I deactivate my data ,How do I switch off data on my phone?,What happens if I delete my eSIM? ,Y,"{'What happens if I delete my eSIM? ': 0.02248, 'How do I switch off data on my phone? ': 0.02099, 'How do I check my Vodafone Broadband speed? ': 0.01364}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
Can I stop data on my phone,How do I switch off data on my phone?,What is the Vodafone Broadband Boost feature and how do I use it? ,N,"{'What is the Vodafone Broadband Boost feature and how do I use it? ': 0.02318, 'How do I cancel my Secure Net subscription? ': 0.02104, 'Is it Vodafone calling? ': 0.02094}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
I want to turn off data,How do I switch off data on my phone?,How do I set up a mobile hotspot on my device? ,Y,"{'How do I set up a mobile hotspot on my device? ': 0.04546, 'How do I switch off data on my phone? ': 0.02734, 'How do I check my Vodafone Broadband speed? ': 0.01854}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
Stop my data on my device,How do I switch off data on my phone?,How do I switch off data on my phone? ,Y,"{'How do I switch off data on my phone? ': 0.02997, 'How do I cancel my Secure Net subscription? ': 0.02065, 'Is it Vodafone calling? ': 0.02055}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
can i switch off my data in the app?,How do I switch off data on my phone?,How do I switch off data on my phone? ,Y,"{'How do I switch off data on my phone? ': 0.049, 'How does Message+ work? ': 0.02947, 'How do I manage my dual-SIM phone? ': 0.02243}",https://support.vodafone.co.uk/Phones-devices/Signal-data-connection/1464064382/How-do-I-switch-off-data-on-my-phone.htm
Switch on caller display,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.02403, 'How do I hide my own telephone number when I make calls? ': 0.01841, 'How do I set up conference calling? ': 0.01779}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
how do i activate caller display,I want help with caller display on my Home phone,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.03963, 'I want help with caller display on my Home phone ': 0.03524, 'How do I set up conference calling? ': 0.0201}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
I want to see who is calling my landline,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.04102, 'How do I manage call diverts? ': 0.01716, 'How can I top up my phone or another number? ': 0.01379}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
Can I see the callers on my landline,I want help with caller display on my Home phone,How do I manage call diverts? ,Y,"{'How do I manage call diverts? ': 0.03658, 'I want help with caller display on my Home phone ': 0.02791, 'How do I hide my own telephone number when I make calls? ': 0.02164}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
How do I set up caller display,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.04846, 'How do I set up conference calling? ': 0.01831, 'How do I hide my own telephone number when I make calls? ': 0.01746}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
caller display not working,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.02539, 'How do I hide my own telephone number when I make calls? ': 0.01677, 'How do I get my IMEI number? ': 0.01512}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
hi with my broadband phone line do i get caller display.,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.09384, 'How do I hide my own telephone number when I make calls? ': 0.01516, 'How do I set up conference calling? ': 0.01351}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
does vodafone landline include caller display,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.09765, 'How do I manage call diverts? ': 0.02207, 'How do I set up conference calling? ': 0.01753}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
i want help with caller display on my home phone,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.06392, 'How do I manage call diverts? ': 0.01334, ""What's my phone number? "": 0.01314}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
re-activate my caller display,I want help with caller display on my Home phone,How does Message+ work? ,Y,"{'How does Message+ work? ': 0.01953, 'I want help with caller display on my Home phone ': 0.01868, 'How do I hide my own telephone number when I make calls? ': 0.01696}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
caller display not active,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.02135, 'How do I hide my own telephone number when I make calls? ': 0.01812, 'How do I get my IMEI number? ': 0.01574}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
How do i access caller display,I want help with caller display on my Home phone,I want help with caller display on my Home phone ,Y,"{'I want help with caller display on my Home phone ': 0.06813, 'How do I hide my own telephone number when I make calls? ': 0.01782, 'How do I set up conference calling? ': 0.01745}",https://support.vodafone.co.uk/Broadband/Home-phone/1464003292/I-want-help-with-caller-display-on-my-Home-phone.htm
Check speeds for my home broadband,How do I check my Vodafone Broadband speed?,What's the difference between internet sync speed and download speed? ,Y,"{""What's the difference between internet sync speed and download speed? "": 0.05314, 'How do I check my Vodafone Broadband speed? ': 0.04366, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02421}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
How do I see what speed I'm getting for broadband,How do I check my Vodafone Broadband speed?,What's the difference between internet sync speed and download speed? ,Y,"{""What's the difference between internet sync speed and download speed? "": 0.09899, 'How do I check my Vodafone Broadband speed? ': 0.03499, 'How do I manage my dual-SIM phone? ': 0.0231}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
What is my broadband speed,How do I check my Vodafone Broadband speed?,What is 5G? ,Y,"{'What is 5G? ': 0.03287, ""What's the difference between internet sync speed and download speed? "": 0.02745, 'How do I check my Vodafone Broadband speed? ': 0.02631}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
Can Icheck how fast my wifi is,How do I check my Vodafone Broadband speed?,What is 5G? ,N,"{'What is 5G? ': 0.02309, 'How do I check the devices connected to my WiFi? ': 0.01671, 'What is the Vodafone Broadband Boost feature and how do I use it? ': 0.01583}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
what is my wifi speed?,How do I check my Vodafone Broadband speed?,What is 5G? ,N,"{'What is 5G? ': 0.04129, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02632, ""What's the difference between internet sync speed and download speed? "": 0.02134}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
How fast is my broadband,How do I check my Vodafone Broadband speed?,What is 5G? ,Y,"{'What is 5G? ': 0.04991, 'How do I check my Vodafone Broadband speed? ': 0.02018, ""What's the difference between 4G and 5G? "": 0.01911}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
How fast is my home wifi,How do I check my Vodafone Broadband speed?,What is 5G? ,Y,"{'What is 5G? ': 0.0333, ""What's the difference between internet sync speed and download speed? "": 0.02662, 'How do I check my Vodafone Broadband speed? ': 0.01699}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
can i check broadband speed,How do I check my Vodafone Broadband speed?,What's the difference between internet sync speed and download speed? ,Y,"{""What's the difference between internet sync speed and download speed? "": 0.04447, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.03763, 'How do I check my Vodafone Broadband speed? ': 0.03568}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
check speed at my address,How do I check my Vodafone Broadband speed?,What's the difference between internet sync speed and download speed? ,Y,"{""What's the difference between internet sync speed and download speed? "": 0.06797, 'How do I check my Vodafone Broadband speed? ': 0.03059, 'What is 5G? ': 0.01883}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
check speed test in my area,How do I check my Vodafone Broadband speed?,How do I check my Vodafone Broadband speed? ,Y,"{'How do I check my Vodafone Broadband speed? ': 0.02858, 'What is 5G? ': 0.01512, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.01244}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
trying to check speed of wifi ,How do I check my Vodafone Broadband speed?,My devices can’t connect to my Vodafone Hub through WiFi ,Y,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.0239, 'How do I check my Vodafone Broadband speed? ': 0.0239, ""What's the difference between internet sync speed and download speed? "": 0.02374}",https://support.vodafone.co.uk/Broadband/Speed-connection-issues/1464004032/How-do-I-check-my-Vodafone-Broadband-speed.htm
I need to find out what speed I'm getting for my home internet,Can I use my own router with Vodafone broadband?,How do I check my Vodafone Broadband speed? ,N,"{'How do I check my Vodafone Broadband speed? ': 0.03058, ""What's the difference between internet sync speed and download speed? "": 0.03029, 'What is 5G? ': 0.02012}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1464003752/Can-I-use-my-own-router-with-Vodafone-broadband.htm
Home internet speed check,Can I use my own router with Vodafone broadband?,What's the difference between internet sync speed and download speed? ,N,"{""What's the difference between internet sync speed and download speed? "": 0.04193, 'How do I check my Vodafone Broadband speed? ': 0.03413, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02121}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1464003752/Can-I-use-my-own-router-with-Vodafone-broadband.htm
how do i change my router password?,How do I reset the password on my router?,My devices can’t connect to my Vodafone Hub through WiFi ,Y,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.17351, 'How do I reset the password on my router? ': 0.10211, 'How do I factory reset my Vodafone router? ': 0.05727}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
the wifi i just installed the router password is different,How do I reset the password on my router?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.02619, 'What’s Guest WiFi and how can I manage it? ': 0.02524, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02088}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
Can I update router password,How do I reset the password on my router?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.07874, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.04151, 'How do I manage my Vodafone router settings? ': 0.02897}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
Change my router pin,How do I reset the password on my router?,How do I factory reset my Vodafone router? ,N,"{'How do I factory reset my Vodafone router? ': 0.03019, 'I’m having issues connecting my Super WiFi Booster ': 0.02356, 'How do I get my IMEI number? ': 0.02062}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
reset router password,How do I reset the password on my router?,How do I factory reset my Vodafone router? ,Y,"{'How do I factory reset my Vodafone router? ': 0.05463, 'How do I reset the password on my router? ': 0.03067, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02473}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
reset my router password please,How do I reset the password on my router?,How do I factory reset my Vodafone router? ,Y,"{'How do I factory reset my Vodafone router? ': 0.03551, 'How do I reset the password on my router? ': 0.02464, 'Can I use my own router with Vodafone broadband? ': 0.01904}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
can i reset my router password,How do I reset the password on my router?,How do I factory reset my Vodafone router? ,Y,"{'How do I factory reset my Vodafone router? ': 0.11927, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.03981, 'How do I reset the password on my router? ': 0.03312}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
need to reset my router password,How do I reset the password on my router?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.0781, 'How do I factory reset my Vodafone router? ': 0.05895, 'Can I use my own router with Vodafone broadband? ': 0.02275}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
reset password for my router,How do I reset the password on my router?,How do I factory reset my Vodafone router? ,Y,"{'How do I factory reset my Vodafone router? ': 0.05089, 'How do I reset the password on my router? ': 0.04161, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02654}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
I need to update my router password,How do I reset the password on my router?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.05414, 'How do I factory reset my Vodafone router? ': 0.02824, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.02724}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
Can i update my router password from the app,How do I reset the password on my router?,My devices can’t connect to my Vodafone Hub through WiFi ,Y,"{'My devices can’t connect to my Vodafone Hub through WiFi ': 0.06609, 'How do I reset the password on my router? ': 0.03202, 'How do I manage my Vodafone router settings? ': 0.0272}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
change router admin password,How do I reset the password on my router?,How do I reset the password on my router? ,Y,"{'How do I reset the password on my router? ': 0.07873, 'My devices can’t connect to my Vodafone Hub through WiFi ': 0.03302, 'How do I factory reset my Vodafone router? ': 0.02732}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1599525852/How-do-I-reset-the-password-on-my-router.htm
what is onenumber,What is Vodafone OneNumber and how do I get it?,How does Vodafone OneNumber work across my devices? ,N,"{'How does Vodafone OneNumber work across my devices? ': 0.02049, 'What happens if I delete my eSIM? ': 0.01034}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
Vodafone one number,What is Vodafone OneNumber and how do I get it?,Can I get Visual Voicemail? ,N,"{'Can I get Visual Voicemail? ': 0.02479, 'I want to cancel the insurance for my device ': 0.01848, 'How do I hide my own telephone number when I make calls? ': 0.01825}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
How do I get vodafone onenumber,What is Vodafone OneNumber and how do I get it?,How do I get my IMEI number? ,N,"{'How do I get my IMEI number? ': 0.01742, 'How do I get proof of purchase? ': 0.01557, 'How does Vodafone OneNumber work across my devices? ': 0.01466}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
What is Vodafone one number,What is Vodafone OneNumber and how do I get it?,Can I get Visual Voicemail? ,N,"{'Can I get Visual Voicemail? ': 0.02043, 'I want to cancel the insurance for my device ': 0.0173, 'How do I transfer content from one phone to another? ': 0.01508}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
Sign up for vodafone onenumber,What is Vodafone OneNumber and how do I get it?,Can I get mobile network status alerts? ,N,"{'Can I get mobile network status alerts? ': 0.01595, 'How does Vodafone OneNumber work across my devices? ': 0.01541, 'What happens on the day my number moves to Vodafone? ': 0.01093}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
Add onenumber to my account,What is Vodafone OneNumber and how do I get it?,What's my phone number? ,N,"{""What's my phone number? "": 0.02108, 'How can I top up my phone or another number? ': 0.01723, 'How do I stop nuisance calls or spam texts? ': 0.01485}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
What is the benefit of onenumber,What is Vodafone OneNumber and how do I get it?,"What happens to my Extras, insurance, benefits and discounts when I upgrade? ",N,"{'What happens to my Extras, insurance, benefits and discounts when I upgrade? ': 0.03323, 'How do I use the Unlimited Data Booster on my Xtra Plan? ': 0.02535, 'How does Vodafone OneNumber work across my devices? ': 0.01717}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
What does vodafone onenumber offer,What is Vodafone OneNumber and how do I get it?,How does Vodafone OneNumber work across my devices? ,N,"{'How does Vodafone OneNumber work across my devices? ': 0.02964, 'What happens on the day my number moves to Vodafone? ': 0.02321, ""Where's my nearest store?  "": 0.02239}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
how do i add onenumber to my account,What is Vodafone OneNumber and how do I get it?,How can I top up my phone or another number? ,N,"{'How can I top up my phone or another number? ': 0.03985, 'How do I set up conference calling? ': 0.02708, ""What's my phone number? "": 0.02527}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
how much to add onenumber,What is Vodafone OneNumber and how do I get it?,How can I top up my phone or another number? ,N,"{'How can I top up my phone or another number? ': 0.02042, 'How does Vodafone OneNumber work across my devices? ': 0.0121, 'How do I set up conference calling? ': 0.01061}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
I'm interetsed in vodafone onenumber for my new watch,What is Vodafone OneNumber and how do I get it?,How does Vodafone OneNumber work across my devices? ,N,"{'How does Vodafone OneNumber work across my devices? ': 0.02389, 'What happens if I delete my eSIM? ': 0.01647, 'How do I change the length of time before a call goes to voicemail? ': 0.01628}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
Onenumber plan,What is Vodafone OneNumber and how do I get it?,"What happens to my Extras, insurance, benefits and discounts when I upgrade? ",N,"{'What happens to my Extras, insurance, benefits and discounts when I upgrade? ': 0.01832, 'How does Message+ work? ': 0.01793, ""What's my phone number? "": 0.01209}",https://support.vodafone.co.uk/Phones-devices/Smartwatch-OneNumber/1526115292/How-does-Vodafone-OneNumber-work-across-my-devices.htm
set up conference call,How do I set up conference calling?,How do I set up conference calling? ,Y,"{'How do I set up conference calling? ': 0.02685, 'What do the lights mean on my router? ': 0.02332, 'How do I set up my home phone? ': 0.02325}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1464038282/How-do-I-set-up-conference-calling.htm
activate conference calling,How do I set up conference calling?,Why am I seeing the wrong number when using iMessage or FaceTime? ,Y,"{'Why am I seeing the wrong number when using iMessage or FaceTime? ': 0.0266, 'How do I check my voicemail? ': 0.02638, 'How do I set up conference calling? ': 0.02545}",https://support.vodafone.co.uk/Broadband/Set-up-getting-started-Home-Broadband-/1464038282/How-do-I-set-up-conference-calling.htm
